              0	 -0.060	 -0.155
              1	 -0.030	 -0.140
              2	  0.000	 -0.155
              3	  0.000	 -0.175
              4	  0.000	 -0.190
              5	  0.085	 -0.190
              6	  0.100	 -0.175
              7	  0.145	 -0.190
              8	  0.160	 -0.250
              9	  0.190	 -0.220
             10	  0.245	 -0.190
             11	  0.305	 -0.190
             12	  0.275	 -0.220
             13	  0.335	 -0.265
             14	  0.335	 -0.235
             15	  0.350	 -0.235
             16	  0.420	 -0.235
             17	  0.375	 -0.250
             18	  0.390	 -0.235
             19	  0.375	 -0.235
             20	  0.360	 -0.205
             21	  0.350	 -0.220
             22	  0.335	 -0.205
             23	  0.320	 -0.235
             24	  0.260	 -0.220
             25	  0.245	 -0.205
             26	  0.205	 -0.175
             27	  0.145	 -0.155
             28	  0.100	 -0.140
             29	  0.030	 -0.155
             30	 -0.015	 -0.140
             31	 -0.085	 -0.140
             32	 -0.115	 -0.125
             33	 -0.145	 -0.125
             34	 -0.205	 -0.110
             35	 -0.215	 -0.110
             36	 -0.260	 -0.065
             37	 -0.245	 -0.080
             38	 -0.290	 -0.110
             39	 -0.305	 -0.095
             40	 -0.290	 -0.065
             41	 -0.320	 -0.080
             42	 -0.320	 -0.065
             43	 -0.320	 -0.050
             44	 -0.335	 -0.050
             45	 -0.335	 -0.065
             46	 -0.350	 -0.065
             47	 -0.350	 -0.050
             48	 -0.350	 -0.035
             49	 -0.360	 -0.050
             50	 -0.360	 -0.050
             51	 -0.320	 -0.020
             52	 -0.350	 -0.035
             53	 -0.420	 -0.020
             54	 -0.360	 -0.050
             55	 -0.360	 -0.110
             56	 -0.350	 -0.050
             57	 -0.360	 -0.035
             58	 -0.405	 -0.020
             59	 -0.360	 -0.020
             60	 -0.350	 -0.065
             61	 -0.360	 -0.020
             62	 -0.375	 -0.050
             63	 -0.390	 -0.050
             64	 -0.350	 -0.050
             65	 -0.360	 -0.050
             66	 -0.360	 -0.035
             67	 -0.375	 -0.050
             68	 -0.375	 -0.050
             69	 -0.360	 -0.065
             70	 -0.360	 -0.065
             71	 -0.360	 -0.050
             72	 -0.350	 -0.050
             73	 -0.360	 -0.050
             74	 -0.360	 -0.050
             75	 -0.350	 -0.050
             76	 -0.350	 -0.050
             77	 -0.350	 -0.065
             78	 -0.350	 -0.050
             79	 -0.335	 -0.050
             80	 -0.350	 -0.050
             81	 -0.350	 -0.050
